PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
CATANIA;CT;A025;ACI BONACCORSI;0;0;0;0
CATANIA;CT;A026;ACI CASTELLO;0;0;0;0
CATANIA;CT;A027;ACI CATENA;0;0;0;0
CATANIA;CT;A029;ACI SANT'ANTONIO;0;0;0;0
CATANIA;CT;A028;ACIREALE;0;0;0;0
CATANIA;CT;A056;ADRANO;1;0;1;0
CATANIA;CT;A766;BELPASSO;1;0;1;0
CATANIA;CT;A841;BIANCAVILLA;1;0;1;0
CATANIA;CT;B202;BRONTE;2;0;1;1
CATANIA;CT;B384;CALATABIANO;0;0;0;0
CATANIA;CT;B428;CALTAGIRONE;2;0;1;1
CATANIA;CT;B561;CAMPOROTONDO ETNEO;1;0;1;0
CATANIA;CT;C091;CASTEL DI IUDICA;2;0;1;1
CATANIA;CT;C297;CASTIGLIONE DI SICILIA;2;0;1;1
CATANIA;CT;C351;CATANIA;0;0;0;0
CATANIA;CT;D623;FIUMEFREDDO DI SICILIA;0;0;0;0
CATANIA;CT;E017;GIARRE;0;0;0;0
CATANIA;CT;E133;GRAMMICHELE;1;0;1;0
CATANIA;CT;E156;GRAVINA DI CATANIA;0;0;0;0
CATANIA;CT;E578;LICODIA EUBEA;2;0;1;1
CATANIA;CT;E602;LINGUAGLOSSA;2;0;1;1
CATANIA;CT;E854;MALETTO;2;0;1;1
CATANIA;CT;M283;MANIACE;2;0;1;1
CATANIA;CT;F004;MASCALI;0;0;0;0
CATANIA;CT;F005;MASCALUCIA;0;0;0;0
CATANIA;CT;M271;MAZZARRONE;2;0;1;1
CATANIA;CT;F209;MILITELLO IN VAL DI CATANIA;2;0;1;1
CATANIA;CT;F214;MILO;1;0;0;1
CATANIA;CT;F217;MINEO;2;0;1;1
CATANIA;CT;F231;MIRABELLA IMBACCARI;1;0;1;0
CATANIA;CT;F250;MISTERBIANCO;1;0;1;0
CATANIA;CT;F781;MOTTA SANT'ANASTASIA;1;0;1;0
CATANIA;CT;F890;NICOLOSI;0;0;0;0
CATANIA;CT;G253;PALAGONIA;1;0;1;0
CATANIA;CT;G371;PATERNO';1;0;1;0
CATANIA;CT;G402;PEDARA;0;0;0;0
CATANIA;CT;G597;PIEDIMONTE ETNEO;1;0;0;1
CATANIA;CT;H154;RADDUSA;2;0;1;1
CATANIA;CT;M287;RAGALNA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
CATANIA;CT;H168;RAMACCA;2;0;1;1
CATANIA;CT;H175;RANDAZZO;2;0;1;1
CATANIA;CT;H325;RIPOSTO;0;0;0;0
CATANIA;CT;H805;SAN CONO;1;0;1;0
CATANIA;CT;H922;SAN GIOVANNI LA PUNTA;0;0;0;0
CATANIA;CT;H940;SAN GREGORIO DI CATANIA;0;0;0;0
CATANIA;CT;I035;SAN MICHELE DI GANZARIA;2;0;1;1
CATANIA;CT;I098;SAN PIETRO CLARENZA;1;0;1;0
CATANIA;CT;I240;SANTA MARIA DI LICODIA;1;0;1;0
CATANIA;CT;I314;SANTA VENERINA;0;0;0;0
CATANIA;CT;I202;SANT'AGATA LI BATTIATI;1;0;1;0
CATANIA;CT;I216;SANT'ALFIO;2;0;1;1
CATANIA;CT;I548;SCORDIA;1;0;1;0
CATANIA;CT;L355;TRECASTAGNI;0;0;0;0
CATANIA;CT;L369;TREMESTIERI ETNEO;1;0;1;0
CATANIA;CT;L658;VALVERDE;0;0;0;0
CATANIA;CT;L828;VIAGRANDE;0;0;0;0
CATANIA;CT;M100;VIZZINI;2;0;1;1
CATANIA;CT;M139;ZAFFERANA ETNEA;2;0;1;1
ENNA;EN;A070;AGIRA;2;0;1;1
ENNA;EN;A098;AIDONE;2;0;1;1
ENNA;EN;A478;ASSORO;2;0;1;1
ENNA;EN;A676;BARRAFRANCA;1;0;1;0
ENNA;EN;B381;CALASCIBETTA;2;0;1;1
ENNA;EN;C353;CATENANUOVA;1;0;1;0
ENNA;EN;C471;CENTURIPE;2;0;1;1
ENNA;EN;C480;CERAMI;2;0;1;1
ENNA;EN;C342;ENNA;2;0;1;1
ENNA;EN;D849;GAGLIANO CASTELFERRATO;2;0;1;1
ENNA;EN;E536;LEONFORTE;2;0;1;1
ENNA;EN;F892;NICOSIA;2;0;1;1
ENNA;EN;F900;NISSORIA;2;0;1;1
ENNA;EN;G580;PIAZZA ARMERINA;2;0;1;1
ENNA;EN;G624;PIETRAPERZIA;2;0;1;1
ENNA;EN;H221;REGALBUTO;2;0;1;1
ENNA;EN;I891;SPERLINGA;2;0;1;1
ENNA;EN;L448;TROINA;2;0;1;1
ENNA;EN;L583;VALGUARNERA CAROPEPE;1;0;1;0
ENNA;EN;M011;VILLAROSA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
SIRACUSA;SR;A494;AUGUSTA;0;0;0;0
SIRACUSA;SR;A522;AVOLA;0;0;0;0
SIRACUSA;SR;B237;BUCCHERI;2;0;1;1
SIRACUSA;SR;B287;BUSCEMI;2;0;1;1
SIRACUSA;SR;B603;CANICATTINI BAGNI;1;0;1;0
SIRACUSA;SR;B787;CARLENTINI;2;0;1;1
SIRACUSA;SR;C006;CASSARO;2;0;1;1
SIRACUSA;SR;D540;FERLA;2;0;1;1
SIRACUSA;SR;D636;FLORIDIA;1;0;1;0
SIRACUSA;SR;D768;FRANCOFONTE;1;0;1;0
SIRACUSA;SR;E532;LENTINI;2;0;1;1
SIRACUSA;SR;F107;MELILLI;2;0;1;1
SIRACUSA;SR;F943;NOTO;1;0;0;1
SIRACUSA;SR;G211;PACHINO;0;0;0;0
SIRACUSA;SR;G267;PALAZZOLO ACREIDE;2;0;1;1
SIRACUSA;SR;M257;PORTOPALO DI CAPO PASSERO;0;0;0;0
SIRACUSA;SR;M279;PRIOLO GARGALLO;1;0;1;0
SIRACUSA;SR;H574;ROSOLINI;1;0;1;0
SIRACUSA;SR;I754;SIRACUSA;0;0;0;0
SIRACUSA;SR;I785;SOLARINO;0;0;0;0
SIRACUSA;SR;I864;SORTINO;2;0;1;1
TRAPANI;TP;A176;ALCAMO;0;0;0;0
TRAPANI;TP;B288;BUSETO PALIZZOLO;2;0;1;1
TRAPANI;TP;B385;CALATAFIMI-SEGESTA;2;0;1;1
TRAPANI;TP;B521;CAMPOBELLO DI MAZARA;1;0;1;0
TRAPANI;TP;C130;CASTELLAMMARE DEL GOLFO;1;0;0;1
TRAPANI;TP;C286;CASTELVETRANO;1;0;0;1
TRAPANI;TP;D234;CUSTONACI;1;0;0;1
TRAPANI;TP;D423;ERICE;0;0;0;0
TRAPANI;TP;D518;FAVIGNANA;2;1;0;1
TRAPANI;TP;E023;GIBELLINA;2;0;1;1
TRAPANI;TP;E974;MARSALA;0;0;0;0
TRAPANI;TP;F061;MAZARA DEL VALLO;1;0;1;0
TRAPANI;TP;G208;PACECO;1;0;1;0
TRAPANI;TP;G315;PANTELLERIA;2;1;0;1
TRAPANI;TP;G347;PARTANNA;2;0;1;1
TRAPANI;TP;M281;PETROSINO;0;0;0;0
TRAPANI;TP;G767;POGGIOREALE;2;0;1;1
TRAPANI;TP;H688;SALAPARUTA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
TRAPANI;TP;H700;SALEMI;2;0;1;1
TRAPANI;TP;I407;SAN VITO LO CAPO;1;0;0;1
TRAPANI;TP;I291;SANTA NINFA;2;0;1;1
TRAPANI;TP;L331;TRAPANI;0;0;0;0
TRAPANI;TP;G319;VALDERICE;0;0;0;0
TRAPANI;TP;M081;VITA;1;0;1;0
TRAPANI;TP;M432;MISILISCEMI;2;0;1;1
CALTANISSETTA;CL;A049;ACQUAVIVA PLATANI;2;0;1;1
CALTANISSETTA;CL;A957;BOMPENSIERE;2;0;1;1
CALTANISSETTA;CL;B302;BUTERA;2;0;1;1
CALTANISSETTA;CL;B429;CALTANISSETTA;2;0;1;1
CALTANISSETTA;CL;B537;CAMPOFRANCO;2;0;1;1
CALTANISSETTA;CL;D267;DELIA;1;0;1;0
CALTANISSETTA;CL;D960;GELA;1;0;1;0
CALTANISSETTA;CL;E953;MARIANOPOLI;2;0;1;1
CALTANISSETTA;CL;F065;MAZZARINO;2;0;1;1
CALTANISSETTA;CL;E618;MILENA;2;0;1;1
CALTANISSETTA;CL;F489;MONTEDORO;2;0;1;1
CALTANISSETTA;CL;F830;MUSSOMELI;2;0;1;1
CALTANISSETTA;CL;F899;NISCEMI;1;0;1;0
CALTANISSETTA;CL;H245;RESUTTANO;2;0;1;1
CALTANISSETTA;CL;H281;RIESI;1;0;1;0
CALTANISSETTA;CL;H792;SAN CATALDO;1;0;1;0
CALTANISSETTA;CL;I169;SANTA CATERINA VILLARMOSA;2;0;1;1
CALTANISSETTA;CL;I644;SERRADIFALCO;2;0;1;1
CALTANISSETTA;CL;I824;SOMMATINO;1;0;1;0
CALTANISSETTA;CL;L016;SUTERA;2;0;1;1
CALTANISSETTA;CL;L609;VALLELUNGA PRATAMENO;2;0;1;1
CALTANISSETTA;CL;L959;VILLALBA;2;0;1;1
PALERMO;PA;A195;ALIA;2;0;1;1
PALERMO;PA;A202;ALIMENA;2;0;1;1
PALERMO;PA;A203;ALIMINUSA;2;0;1;1
PALERMO;PA;A229;ALTAVILLA MILICIA;0;0;0;0
PALERMO;PA;A239;ALTOFONTE;1;0;1;0
PALERMO;PA;A546;BAGHERIA;0;0;0;0
PALERMO;PA;A592;BALESTRATE;0;0;0;0
PALERMO;PA;A719;BAUCINA;2;0;1;1
PALERMO;PA;A764;BELMONTE MEZZAGNO;1;0;1;0
PALERMO;PA;A882;BISACQUINO;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
PALERMO;PA;M268;BLUFI;2;0;1;1
PALERMO;PA;A946;BOLOGNETTA;2;0;1;1
PALERMO;PA;A958;BOMPIETRO;2;0;1;1
PALERMO;PA;A991;BORGETTO;1;0;1;0
PALERMO;PA;B315;CACCAMO;2;0;1;1
PALERMO;PA;B430;CALTAVUTURO;2;0;1;1
PALERMO;PA;B533;CAMPOFELICE DI FITALIA;2;0;1;1
PALERMO;PA;B532;CAMPOFELICE DI ROCCELLA;0;0;0;0
PALERMO;PA;B535;CAMPOFIORITO;2;0;1;1
PALERMO;PA;B556;CAMPOREALE;2;0;1;1
PALERMO;PA;B645;CAPACI;0;0;0;0
PALERMO;PA;B780;CARINI;0;0;0;0
PALERMO;PA;C067;CASTELBUONO;2;0;1;1
PALERMO;PA;C074;CASTELDACCIA;0;0;0;0
PALERMO;PA;C135;CASTELLANA SICULA;2;0;1;1
PALERMO;PA;C344;CASTRONOVO DI SICILIA;2;0;1;1
PALERMO;PA;C420;CEFALA' DIANA;2;0;1;1
PALERMO;PA;C421;CEFALU';0;0;0;0
PALERMO;PA;C496;CERDA;2;0;1;1
PALERMO;PA;C654;CHIUSA SCLAFANI;2;0;1;1
PALERMO;PA;C696;CIMINNA;2;0;1;1
PALERMO;PA;C708;CINISI;0;0;0;0
PALERMO;PA;C871;COLLESANO;2;0;1;1
PALERMO;PA;C968;CONTESSA ENTELLINA;2;0;1;1
PALERMO;PA;D009;CORLEONE;2;0;1;1
PALERMO;PA;D567;FICARAZZI;0;0;0;0
PALERMO;PA;D907;GANGI;2;0;1;1
PALERMO;PA;D977;GERACI SICULO;2;0;1;1
PALERMO;PA;E013;GIARDINELLO;1;0;1;0
PALERMO;PA;E055;GIULIANA;2;0;1;1
PALERMO;PA;E074;GODRANO;2;0;1;1
PALERMO;PA;E149;GRATTERI;2;0;1;1
PALERMO;PA;E337;ISNELLO;2;0;1;1
PALERMO;PA;E350;ISOLA DELLE FEMMINE;0;0;0;0
PALERMO;PA;E459;LASCARI;0;0;0;0
PALERMO;PA;E541;LERCARA FRIDDI;1;0;1;0
PALERMO;PA;E957;MARINEO;1;0;1;0
PALERMO;PA;F184;MEZZOJUSO;2;0;1;1
PALERMO;PA;F246;MISILMERI;1;0;1;0
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
PALERMO;PA;F377;MONREALE;2;0;1;1
PALERMO;PA;F544;MONTELEPRE;1;0;1;0
PALERMO;PA;F553;MONTEMAGGIORE BELSITO;2;0;1;1
PALERMO;PA;G263;PALAZZO ADRIANO;2;0;1;1
PALERMO;PA;G273;PALERMO;0;0;0;0
PALERMO;PA;G348;PARTINICO;1;0;1;0
PALERMO;PA;G510;PETRALIA SOPRANA;2;0;1;1
PALERMO;PA;G511;PETRALIA SOTTANA;2;0;1;1
PALERMO;PA;G543;PIANA DEGLI ALBANESI;2;0;1;1
PALERMO;PA;G792;POLIZZI GENEROSA;2;0;1;1
PALERMO;PA;G797;POLLINA;1;0;0;1
PALERMO;PA;H070;PRIZZI;2;0;1;1
PALERMO;PA;H422;ROCCAMENA;2;0;1;1
PALERMO;PA;H428;ROCCAPALUMBA;2;0;1;1
PALERMO;PA;H797;SAN CIPIRELLO;1;0;1;0
PALERMO;PA;H933;SAN GIUSEPPE JATO;1;0;1;0
PALERMO;PA;I028;SAN MAURO CASTELVERDE;2;0;1;1
PALERMO;PA;I174;SANTA CRISTINA GELA;2;0;1;1
PALERMO;PA;I188;SANTA FLAVIA;0;0;0;0
PALERMO;PA;I534;SCIARA;2;0;1;1
PALERMO;PA;I538;SCILLATO;2;0;1;1
PALERMO;PA;I541;SCLAFANI BAGNI;2;0;1;1
PALERMO;PA;L112;TERMINI IMERESE;1;0;1;0
PALERMO;PA;L131;TERRASINI;0;0;0;0
PALERMO;PA;L282;TORRETTA;1;0;1;0
PALERMO;PA;L317;TRABIA;0;0;0;0
PALERMO;PA;L332;TRAPPETO;0;0;0;0
PALERMO;PA;L519;USTICA;1;1;0;0
PALERMO;PA;L603;VALLEDOLMO;2;0;1;1
PALERMO;PA;L740;VENTIMIGLIA DI SICILIA;2;0;1;1
PALERMO;PA;L837;VICARI;2;0;1;1
PALERMO;PA;L916;VILLABATE;1;0;1;0
PALERMO;PA;L951;VILLAFRATI;2;0;1;1
MESSINA;ME;M211;ACQUEDOLCI;0;0;0;0
MESSINA;ME;A177;ALCARA LI FUSI;2;0;1;1
MESSINA;ME;A194;ALI';2;0;1;1
MESSINA;ME;A201;ALI' TERME;0;0;0;0
MESSINA;ME;A313;ANTILLO;2;0;1;1
MESSINA;ME;A638;BARCELLONA POZZO DI GOTTO;1;0;1;0
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
MESSINA;ME;A698;BASICO';2;0;1;1
MESSINA;ME;B198;BROLO;0;0;0;0
MESSINA;ME;B660;CAPIZZI;2;0;1;1
MESSINA;ME;B666;CAPO D'ORLANDO;0;0;0;0
MESSINA;ME;B695;CAPRI LEONE;0;0;0;0
MESSINA;ME;B804;CARONIA;2;0;1;1
MESSINA;ME;B918;CASALVECCHIO SICULO;2;0;1;1
MESSINA;ME;C094;CASTEL DI LUCIO;2;0;1;1
MESSINA;ME;C051;CASTELL'UMBERTO;1;0;1;0
MESSINA;ME;C210;CASTELMOLA;1;0;0;1
MESSINA;ME;C347;CASTROREALE;2;0;1;1
MESSINA;ME;C568;CESARO';2;0;1;1
MESSINA;ME;C956;CONDRO';2;0;1;1
MESSINA;ME;D474;FALCONE;0;0;0;0
MESSINA;ME;D569;FICARRA;2;0;1;1
MESSINA;ME;D622;FIUMEDINISI;2;0;1;1
MESSINA;ME;D635;FLORESTA;2;0;1;1
MESSINA;ME;D661;FONDACHELLI-FANTINA;2;0;1;1
MESSINA;ME;D733;FORZA D'AGRO';1;0;0;1
MESSINA;ME;D765;FRANCAVILLA DI SICILIA;2;0;1;1
MESSINA;ME;D793;FRAZZANO';2;0;1;1
MESSINA;ME;D824;FURCI SICULO;0;0;0;0
MESSINA;ME;D825;FURNARI;0;0;0;0
MESSINA;ME;D844;GAGGI;0;0;0;0
MESSINA;ME;D861;GALATI MAMERTINO;2;0;1;1
MESSINA;ME;D885;GALLODORO;2;0;1;1
MESSINA;ME;E014;GIARDINI-NAXOS;0;0;0;0
MESSINA;ME;E043;GIOIOSA MAREA;0;0;0;0
MESSINA;ME;E142;GRANITI;1;0;0;1
MESSINA;ME;E233;GUALTIERI SICAMINO';2;0;1;1
MESSINA;ME;E374;ITALA;2;0;1;1
MESSINA;ME;E523;LENI;2;1;0;1
MESSINA;ME;E555;LETOJANNI;0;0;0;0
MESSINA;ME;E571;LIBRIZZI;2;0;1;1
MESSINA;ME;E594;LIMINA;2;0;1;1
MESSINA;ME;E606;LIPARI;2;1;0;1
MESSINA;ME;E674;LONGI;2;0;1;1
MESSINA;ME;E855;MALFA;2;1;0;1
MESSINA;ME;E869;MALVAGNA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
MESSINA;ME;E876;MANDANICI;2;0;1;1
MESSINA;ME;F066;MAZZARRA' SANT'ANDREA;1;0;1;0
MESSINA;ME;F147;MERI';1;0;1;0
MESSINA;ME;F158;MESSINA;0;0;0;0
MESSINA;ME;F206;MILAZZO;0;0;0;0
MESSINA;ME;F210;MILITELLO ROSMARINO;2;0;1;1
MESSINA;ME;F242;MIRTO;2;0;1;1
MESSINA;ME;F251;MISTRETTA;2;0;1;1
MESSINA;ME;F277;MOIO ALCANTARA;2;0;1;1
MESSINA;ME;F359;MONFORTE SAN GIORGIO;2;0;1;1
MESSINA;ME;F368;MONGIUFFI MELIA;2;0;1;1
MESSINA;ME;F395;MONTAGNAREALE;2;0;1;1
MESSINA;ME;F400;MONTALBANO ELICONA;2;0;1;1
MESSINA;ME;F772;MOTTA CAMASTRA;2;0;1;1
MESSINA;ME;F773;MOTTA D'AFFERMO;2;0;1;1
MESSINA;ME;F848;NASO;2;0;1;1
MESSINA;ME;F901;NIZZA DI SICILIA;1;0;1;0
MESSINA;ME;F951;NOVARA DI SICILIA;2;0;1;1
MESSINA;ME;G036;OLIVERI;0;0;0;0
MESSINA;ME;G209;PACE DEL MELA;1;0;1;0
MESSINA;ME;G234;PAGLIARA;2;0;1;1
MESSINA;ME;G377;PATTI;0;0;0;0
MESSINA;ME;G522;PETTINEO;2;0;1;1
MESSINA;ME;G699;PIRAINO;0;0;0;0
MESSINA;ME;H151;RACCUJA;2;0;1;1
MESSINA;ME;H228;REITANO;2;0;1;1
MESSINA;ME;H405;ROCCAFIORITA;2;0;1;1
MESSINA;ME;H418;ROCCALUMERA;0;0;0;0
MESSINA;ME;H380;ROCCAVALDINA;2;0;1;1
MESSINA;ME;H455;ROCCELLA VALDEMONE;2;0;1;1
MESSINA;ME;H479;RODI' MILICI;2;0;1;1
MESSINA;ME;H519;ROMETTA;1;0;1;0
MESSINA;ME;H842;SAN FILIPPO DEL MELA;0;0;0;0
MESSINA;ME;H850;SAN FRATELLO;2;0;1;1
MESSINA;ME;H982;SAN MARCO D'ALUNZIO;2;0;1;1
MESSINA;ME;I084;SAN PIER NICETO;2;0;1;1
MESSINA;ME;I086;SAN PIERO PATTI;2;0;1;1
MESSINA;ME;I147;SAN SALVATORE DI FITALIA;2;0;1;1
MESSINA;ME;I328;SAN TEODORO;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
MESSINA;ME;I184;SANTA DOMENICA VITTORIA;2;0;1;1
MESSINA;ME;I220;SANTA LUCIA DEL MELA;2;0;1;1
MESSINA;ME;I254;SANTA MARINA SALINA;2;1;0;1
MESSINA;ME;I311;SANTA TERESA DI RIVA;0;0;0;0
MESSINA;ME;I199;SANT'AGATA DI MILITELLO;0;0;0;0
MESSINA;ME;I215;SANT'ALESSIO SICULO;0;0;0;0
MESSINA;ME;I283;SANT'ANGELO DI BROLO;2;0;1;1
MESSINA;ME;I370;SANTO STEFANO DI CAMASTRA;0;0;0;0
MESSINA;ME;I420;SAPONARA;2;0;1;1
MESSINA;ME;I477;SAVOCA;0;0;0;0
MESSINA;ME;I492;SCALETTA ZANCLEA;1;0;1;0
MESSINA;ME;I747;SINAGRA;2;0;1;1
MESSINA;ME;I881;SPADAFORA;1;0;1;0
MESSINA;ME;L042;TAORMINA;0;0;0;0
MESSINA;ME;M210;TERME VIGLIATORE;0;0;0;0
MESSINA;ME;L271;TORREGROTTA;0;0;0;0
MESSINA;ME;M286;TORRENOVA;0;0;0;0
MESSINA;ME;L308;TORTORICI;2;0;1;1
MESSINA;ME;L431;TRIPI;2;0;1;1
MESSINA;ME;L478;TUSA;2;0;1;1
MESSINA;ME;L482;UCRIA;2;0;1;1
MESSINA;ME;L561;VALDINA;1;0;1;0
MESSINA;ME;L735;VENETICO;0;0;0;0
MESSINA;ME;L950;VILLAFRANCA TIRRENA;0;0;0;0
AGRIGENTO;AG;A089;AGRIGENTO;0;0;0;0
AGRIGENTO;AG;A181;ALESSANDRIA DELLA ROCCA;2;0;1;1
AGRIGENTO;AG;A351;ARAGONA;2;0;1;1
AGRIGENTO;AG;A896;BIVONA;2;0;1;1
AGRIGENTO;AG;B275;BURGIO;2;0;1;1
AGRIGENTO;AG;B377;CALAMONACI;2;0;1;1
AGRIGENTO;AG;B427;CALTABELLOTTA;2;0;1;1
AGRIGENTO;AG;B460;CAMASTRA;2;0;1;1
AGRIGENTO;AG;B486;CAMMARATA;2;0;1;1
AGRIGENTO;AG;B520;CAMPOBELLO DI LICATA;2;0;1;1
AGRIGENTO;AG;B602;CANICATTI';1;0;1;0
AGRIGENTO;AG;C275;CASTELTERMINI;2;0;1;1
AGRIGENTO;AG;C341;CASTROFILIPPO;2;0;1;1
AGRIGENTO;AG;C356;CATTOLICA ERACLEA;2;0;1;1
AGRIGENTO;AG;C668;CIANCIANA;2;0;1;1
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
AGRIGENTO;AG;C928;COMITINI;2;0;1;1
AGRIGENTO;AG;D514;FAVARA;1;0;1;0
AGRIGENTO;AG;E209;GROTTE;1;0;1;0
AGRIGENTO;AG;E390;JOPPOLO GIANCAXIO;2;0;1;1
AGRIGENTO;AG;E431;LAMPEDUSA E LINOSA;1;1;0;0
AGRIGENTO;AG;E573;LICATA;1;0;1;0
AGRIGENTO;AG;E714;LUCCA SICULA;2;0;1;1
AGRIGENTO;AG;F126;MENFI;1;0;0;1
AGRIGENTO;AG;F414;MONTALLEGRO;2;0;1;1
AGRIGENTO;AG;F655;MONTEVAGO;2;0;1;1
AGRIGENTO;AG;F845;NARO;2;0;1;1
AGRIGENTO;AG;G282;PALMA DI MONTECHIARO;1;0;1;0
AGRIGENTO;AG;F299;PORTO EMPEDOCLE;0;0;0;0
AGRIGENTO;AG;H148;RACALMUTO;2;0;1;1
AGRIGENTO;AG;H159;RAFFADALI;1;0;1;0
AGRIGENTO;AG;H194;RAVANUSA;1;0;1;0
AGRIGENTO;AG;H205;REALMONTE;0;0;0;0
AGRIGENTO;AG;H269;RIBERA;2;0;1;1
AGRIGENTO;AG;H743;SAMBUCA DI SICILIA;2;0;1;1
AGRIGENTO;AG;H778;SAN BIAGIO PLATANI;2;0;1;1
AGRIGENTO;AG;H914;SAN GIOVANNI GEMINI;1;0;1;0
AGRIGENTO;AG;I185;SANTA ELISABETTA;2;0;1;1
AGRIGENTO;AG;I224;SANTA MARGHERITA DI BELICE;2;0;1;1
AGRIGENTO;AG;I290;SANT'ANGELO MUXARO;2;0;1;1
AGRIGENTO;AG;I356;SANTO STEFANO QUISQUINA;2;0;1;1
AGRIGENTO;AG;I533;SCIACCA;0;0;0;0
AGRIGENTO;AG;I723;SICULIANA;1;0;0;1
AGRIGENTO;AG;L944;VILLAFRANCA SICULA;2;0;1;1
RAGUSA;RG;A014;ACATE;2;0;1;1
RAGUSA;RG;C612;CHIARAMONTE GULFI;2;0;1;1
RAGUSA;RG;C927;COMISO;1;0;1;0
RAGUSA;RG;E016;GIARRATANA;2;0;1;1
RAGUSA;RG;E366;ISPICA;1;0;0;1
RAGUSA;RG;F258;MODICA;0;0;0;0
RAGUSA;RG;F610;MONTEROSSO ALMO;2;0;1;1
RAGUSA;RG;G953;POZZALLO;0;0;0;0
RAGUSA;RG;H163;RAGUSA;0;0;0;0
RAGUSA;RG;I178;SANTA CROCE CAMERINA;0;0;0;0
RAGUSA;RG;I535;SCICLI;0;0;0;0
PROVINCIA;SIGLA PROVINCIA;CODICE CATASTALE;COMUNE;Punteggio totale;Isola minore;Ricettività turistica;Area rurale
RAGUSA;RG;M088;VITTORIA;1;0;1;0
